rank,total_score,source,listing_id,url,state,county,acres,price_usd,price_per_acre,lat,lon,elevation_m,water_score,water_distance_m,power_score,power_distance_m,tower_score,tower_distance_m,road_access_score,state_score,acreage_score,price_score,water_crit_score,road_crit_score,title,listed_on
11,0.7664,landwatch,426545313,https://www.landwatch.com/allegan-county-michigan-lakefront-property-for-sale/pid/426545313,MI,Allegan,15682.0,495000.0,31.56,42.6621636,-86.1915913,187.9,0.9479945762337901,345.6,1.0,6938.0,0.11421453477242302,697.0,,1.0,0.75,0.9947,0.5,,"Saugatuck, MI, 49453, Allegan County",
12,0.7661,landwatch,426645026,https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426645026,ND,Ward,14375.0,539000.0,37.5,48.25208,-101.124964,489.9,0.0,,0.8843687174199492,1338.1,1.0,,,1.0,0.75,0.9938,0.5,,"Surrey, ND, 58785, Ward County",
13,0.766,landwatch,426212529,https://www.landwatch.com/coahoma-county-mississippi-recreational-property-for-sale/pid/426212529,MS,Coahoma,8000.0,315000.0,39.38,34.1157544,-90.7278134,48.2,0.4923467100837017,1621.4,1.0,,0.938446310337327,2840.0,,1.0,0.75,0.9934,0.5,,"Rena Lara, MS, 38720, Coahoma County",
14,0.7658,landwatch,426508289,https://www.landwatch.com/holmes-county-mississippi-recreational-property-for-sale/pid/426508289,MS,Holmes,3936.0,167000.0,42.43,33.2005292,-89.8190361,100.7,0.7715562716205618,839.6,1.0,11808.4,0.0,337.8,,1.0,0.75,0.9929,0.5,,"West, MS, 39192, Holmes County",
15,0.7654,landwatch,426120912,https://www.landwatch.com/broward-county-florida-homes-for-sale/pid/426120912,FL,Broward,23895.0,1249000.0,52.27,26.1128569,-80.3827473,1.7,0.0,,0.1896488865477757,365.5,0.2913314560472885,1157.5,,1.0,0.75,0.9913,0.5,,"Weston, FL, 33326, Broward County",
16,0.7653,landwatch,423201901,https://www.landwatch.com/bolivar-county-mississippi-recreational-property-for-sale/pid/423201901,MS,Bolivar,7700.0,415000.0,53.9,33.5727836,-91.0720118,41.5,0.4223192858151438,1817.5,1.0,,1.0,,,1.0,0.75,0.991,0.5,,"Scott, MS, 38772, Bolivar County",
17,0.7652,landwatch,426695256,https://www.landwatch.com/linn-county-iowa-homes-for-sale/pid/426695256,IA,Linn,3268.0,185000.0,56.61,42.0175448,-91.6524539,245.8,0.6960413274864454,1051.1,0.702415823221636,1083.4,0.28051386878638934,1129.3,,1.0,0.75,0.9906,0.5,,"Cedar Rapids, IA, 52402, Linn County",
18,0.765,landandfarm,38304539,https://www.landandfarm.com/property/merigold-hunting-club-equity-share-38304539/,MS,Bolivar,13000.0,775000.0,59.62,33.7714786,-90.9408223,43.2,0.0,,1.0,,1.0,,,1.0,0.75,0.9901,0.5,,"Beulah, MS, 38726",
19,0.7643,landwatch,426545824,https://www.landwatch.com/suffolk-county-new-york-homes-for-sale/pid/426545824,NY,Suffolk,7405.0,549999.0,74.27,40.7920838,-72.8718355,14.3,0.7124283404531385,1005.2,1.0,,0.18189128523688392,872.9,,1.0,0.75,0.9876,0.5,,"Shirley, NY, 11967, Suffolk County",
20,0.7642,landwatch,423684305,https://www.landwatch.com/chicot-county-arkansas-recreational-property-for-sale/pid/423684305,AR,Chicot,8200.0,629000.0,76.71,33.1147648,-91.2669088,37.5,0.36153514304737056,1987.7,1.0,,0.18407486529415104,878.6,,1.0,0.75,0.9872,0.5,,"Eudora, AR, 71640, Chicot County",
21,0.764,landwatch,426663519,https://www.landwatch.com/ward-county-north-dakota-homes-for-sale/pid/426663519,ND,Ward,7692.0,625000.0,81.25,48.2119583,-101.2955285,532.0,0.0,,1.0,1704.9,0.22319983568216895,980.3,,1.0,0.75,0.9865,0.5,,"Minot, ND, 58701, Ward County",
22,0.7638,landwatch,425690405,https://www.landwatch.com/bolivar-county-mississippi-recreational-property-for-sale/pid/425690405,MS,Bolivar,4263.0,365000.0,85.62,33.9446167,-90.9375679,45.5,0.0,,1.0,,0.05,421.7,,1.0,0.75,0.9857,0.5,,"Gunnison, MS, 38746, Bolivar County",
23,0.7632,landwatch,426408504,https://www.landwatch.com/broward-county-florida-lakefront-property-for-sale/pid/426408504,FL,Broward,8372.0,825000.0,98.54,26.1128569,-80.3827473,1.7,0.0,,0.1896488865477757,365.5,0.2913314560472885,1157.5,,1.0,0.75,0.9836,0.5,,"Weston, FL, 33326, Broward County",
24,0.7629,landwatch,424525852,https://www.landwatch.com/jefferson-county-mississippi-recreational-property-for-sale/pid/424525852,MS,Jefferson,3100.0,325000.0,104.84,31.8705012,-91.0561757,90.5,0.5820934523763821,1370.1,1.0,1757.8,1.0,,,1.0,0.75,0.9825,0.5,,"Lorman, MS, 39096, Jefferson County",
25,0.7627,landwatch,425782263,https://www.landwatch.com/desha-county-arkansas-recreational-property-for-sale/pid/425782263,AR,Desha,3132.0,339000.0,108.24,33.8800122,-91.2556697,44.5,0.8474243987407146,627.2,1.0,,1.0,,,1.0,0.75,0.982,0.5,,"Watson, AR, 71674, Desha County",
26,0.7624,landwatch,424954214,https://www.landwatch.com/coahoma-county-mississippi-recreational-property-for-sale/pid/424954214,MS,Coahoma,7000.0,795000.0,113.57,34.202283,-90.5795198,52.4,0.7031663779382991,1031.1,0.5698646706032355,897.8,0.16062652772268493,817.6,,1.0,0.75,0.9811,0.5,,"Clarksdale, MS, 38614, Coahoma County",
27,0.7624,landwatch,413829403,https://www.landwatch.com/okanogan-county-washington-farms-and-ranches-for-sale/pid/413829403,WA,Okanogan,570.0,683440.0,1199.02,48.523776,-119.410796,879.4,0.0,,1.0,,1.0,,,1.0,0.9911,0.8002,0.5,,"Riverside, WA, 98849, Okanogan County",
28,0.7622,landsearch,5119209,https://www.landsearch.com/properties/county-road-86-hemingford-ne-69348/5119209,NE,Box Butte,593.0,652600.0,1100.51,42.32183,-103.1048383,1312.0,0.0,,1.0,,0.3508374573441046,1312.2,,1.0,0.968,0.8166,0.5,,"Hemingford, NE 69348",
29,0.7621,landwatch,426484409,https://www.landwatch.com/cook-county-illinois-homes-for-sale/pid/426484409,IL,Cook,7500.0,900000.0,120.0,41.8716342,-87.7847092,183.1,0.0,,1.0,,0.2329355966771572,1005.6,,1.0,0.75,0.98,0.5,,"Oak Park, IL, 60304, Cook County",
30,0.762,landwatch,425116141,https://www.landwatch.com/east-carroll-parish-louisiana-recreational-property-for-sale/pid/425116141,LA,,6400.0,785000.0,122.66,32.6776605,-91.1821083,30.6,0.9084021520139719,456.5,1.0,18917.1,0.9586346600773791,2892.5,,1.0,0.75,0.9796,0.5,,"Transylvania, LA, 71286",
31,0.7618,landwatch,425453299,https://www.landwatch.com/carteret-county-north-carolina-recreational-property-for-sale/pid/425453299,NC,Carteret,7472.0,950000.0,127.14,34.8409271,-76.418437,0.5,1.0,166.2,1.0,,0.4711070946408323,1624.9,,1.0,0.75,0.9788,0.5,,"Stacy, NC, 28581, Carteret County",
32,0.7616,landwatch,418460076,https://www.landwatch.com/klamath-county-oregon-farms-and-ranches-for-sale/pid/418460076,OR,Klamath,571.0,699000.0,1224.17,42.452312,-121.474104,1313.5,0.0,,0.08774493708792962,222.8,1.0,,,1.0,0.9929,0.796,0.5,,"Sprague River, OR, 97639, Klamath County",
33,0.7615,landwatch,425266342,https://www.landwatch.com/suffolk-county-new-york-homes-for-sale/pid/425266342,NY,Suffolk,6147.0,815000.0,132.59,40.6882229,-73.3737754,7.1,0.502636620797312,1592.6,0.05,132.1,0.33960483460255625,1283.0,,1.0,0.75,0.9779,0.5,,"Lindenhurst, NY, 11757, Suffolk County",
34,0.7615,landwatch,426545853,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426545853,NY,Nassau,11265.0,1499000.0,133.07,40.8461152,-73.6434657,52.8,0.42683186224663283,1804.9,0.7729112303322649,1182.1,1.0,,,1.0,0.75,0.9778,0.5,,"Sea Cliff, NY, 11579, Nassau County",
35,0.7612,landandfarm,38966376,https://www.landandfarm.com/property/farms-oneida-ky-38966376/,KY,Clay,1185.0,775000.0,654.01,37.2452249,-83.6322398,240.5,0.4047958244060563,1866.6,0.45321040582999605,734.5,1.0,,,1.0,0.8645,0.891,0.5,,"Oneida, KY, 40972",
36,0.7612,landwatch,426582638,https://www.landwatch.com/hall-county-georgia-homes-for-sale/pid/426582638,GA,Hall,1100.0,639900.0,581.73,34.1736091,-83.9003396,335.1,0.5748528615171167,1390.4,1.0,4851.9,0.38603927929077336,1403.7,,1.0,0.848,0.903,0.5,,"Flowery Branch, GA, 30542, Hall County",
37,0.761,landwatch,425597599,https://www.landwatch.com/harney-county-oregon-recreational-property-for-sale/pid/425597599,OR,Harney,640.0,480000.0,750.0,43.5742147,-119.5667566,1301.2,0.0,,0.5334799950838169,846.9,1.0,,,1.0,0.8844,0.875,0.5,,"Riley, OR, 97758, Harney County",
38,0.7601,landwatch,426270152,https://www.landwatch.com/desha-county-arkansas-recreational-property-for-sale/pid/426270152,AR,Desha,3132.0,510000.0,162.84,33.8800122,-91.2556697,44.5,0.8474243987407146,627.2,1.0,,1.0,,,1.0,0.75,0.9729,0.5,,"Watson, AR, 71674, Desha County",
39,0.7599,landwatch,422061877,https://www.landwatch.com/shelby-county-tennessee-recreational-property-for-sale/pid/422061877,TN,Shelby,650.0,450000.0,692.31,35.3314422,-89.9029498,78.5,0.8137831706702497,721.4,0.10043556763312929,240.6,0.0,319.9,,1.0,0.8667,0.8846,0.5,,"Millington, TN, 38053, Shelby County",
40,0.7598,landwatch,423296139,https://www.landwatch.com/baker-county-oregon-recreational-property-for-sale/pid/423296139,OR,Baker,640.0,495000.0,773.44,44.4545181,-118.1907634,1204.7,0.0,,0.17203506823273224,340.8,1.0,,,1.0,0.8844,0.8711,0.5,,"Unity, OR, 97884, Baker County",
41,0.7596,landwatch,423684309,https://www.landwatch.com/phillips-county-arkansas-recreational-property-for-sale/pid/423684309,AR,Phillips,5000.0,865000.0,173.0,34.2023439,-90.9662029,47.6,0.9180624441469467,429.4,0.1628051429539283,327.9,1.0,,,1.0,0.75,0.9712,0.5,,"Mellwood, AR, 72367, Phillips County",
42,0.7596,landwatch,426437302,https://www.landwatch.com/greenup-county-kentucky-farms-and-ranches-for-sale/pid/426437302,KY,Greenup,3625.0,629000.0,173.52,38.4402249,-82.6916805,231.7,0.8278027180633806,682.2,0.5478050671423961,866.9,0.0,340.0,,1.0,0.75,0.9711,0.5,,"Ashland, KY, 41102, Greenup County",
43,0.7595,landwatch,423673320,https://www.landwatch.com/kimball-county-nebraska-farms-and-ranches-for-sale/pid/423673320,NE,Kimball,632.0,533800.0,844.62,41.2139925,-103.894094,1538.0,0.6136054731064038,1281.9,1.0,34167.1,0.0,0.0,,1.0,0.8987,0.8592,0.5,,"Bushnell, NE, 69128, Kimball County",
44,0.759,landwatch,425995732,https://www.landwatch.com/rogers-county-oklahoma-farms-and-ranches-for-sale/pid/425995732,OK,Rogers,3406.0,630000.0,184.97,36.2813901,-95.6244198,180.6,0.5267876223763623,1525.0,1.0,1961.6,0.05,484.1,,1.0,0.75,0.9692,0.5,,"Claremore, OK, 74019, Rogers County",
45,0.7572,landandfarm,38314188,https://www.landandfarm.com/property/magna-vista-3-38314188/,MS,Issaquena,5560.0,1250000.0,224.82,32.9095685,-90.8795278,32.3,0.9336105090398299,385.9,1.0,19542.8,0.05863531381761526,552.5,,1.0,0.75,0.9625,0.5,,"Fitler, MS, 39159",
46,0.7572,landwatch,425588963,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/425588963,NY,Nassau,6000.0,1349000.0,224.83,40.6997396,-73.7048544,18.9,0.2815012466293022,2211.8,0.7726668413476266,1181.7,0.24764837767544656,1043.9,,1.0,0.75,0.9625,0.5,,"Elmont, NY, 11003, Nassau County",
47,0.7562,landwatch,425973827,https://www.landwatch.com/cimarron-county-oklahoma-farms-and-ranches-for-sale/pid/425973827,OK,Cimarron,1155.0,1039320.0,899.84,36.7333583,-102.5068133,1266.8,0.7536217058671107,889.9,0.42848367242616,699.9,0.057802878237933224,550.3,,1.0,0.8954,0.85,0.5,,"Boise City, OK, 73933, Cimarron County",
48,0.7558,landwatch,415952461,https://www.landwatch.com/jackson-county-oregon-timberland-property-for-sale/pid/415952461,OR,Jackson,640.0,549000.0,857.81,42.4352564,-123.1669141,311.1,0.0,,0.3880649225508703,643.3,1.0,,,1.0,0.8844,0.857,0.5,,"Rogue River, OR, 97537, Jackson County",
49,0.7556,landwatch,426508938,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426508938,NY,Nassau,10000.0,2575000.0,257.5,40.7591955,-73.6447554,34.7,0.0,,1.0,1954.9,0.7282605339355028,2293.5,,1.0,0.75,0.9571,0.5,,"East Williston, NY, 11596, Nassau County",
50,0.7552,landwatch,426534096,https://www.landwatch.com/queens-county-new-york-homes-for-sale/pid/426534096,NY,Queens,5000.0,1328000.0,265.6,40.7468802,-73.7593039,28.9,0.38275588607866473,1928.3,1.0,12183.7,1.0,,,1.0,0.75,0.9557,0.5,,"Bayside, NY, 11364, Queens County",
51,0.7551,landwatch,426683391,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426683391,NY,Nassau,6720.0,1800000.0,267.86,40.7543156,-73.5741671,34.7,0.0,,1.0,1903.6,0.6329022525020577,2045.5,,1.0,0.75,0.9554,0.5,,"Westbury, NY, 11590, Nassau County",
52,0.7549,landwatch,426382169,https://www.landwatch.com/broward-county-florida-homes-for-sale/pid/426382169,FL,Broward,7904.0,2150000.0,272.01,26.1543797,-80.1259181,1.5,0.0,,0.40409442698449094,665.7,1.0,,,1.0,0.75,0.9547,0.5,,"Wilton Manors, FL, 33305, Broward County",
53,0.7544,landwatch,421501064,https://www.landwatch.com/miami-dade-county-florida-undeveloped-land-for-sale/pid/421501064,FL,Miami Dade,9229.0,2600000.0,281.72,25.9405448,-80.1344082,5.2,0.0,,0.7501767690749296,1150.2,1.0,,,1.0,0.75,0.953,0.5,,"North Miami Beach, FL, 33160, Miami-Dade County",
54,0.7544,landandfarm,36130944,https://www.landandfarm.com/property/residential-north-miami-beach-fl-36130944/,FL,Miami-Dade,9229.0,2600000.0,281.72,25.9405448,-80.1344082,5.2,0.0,,0.7501767690749296,1150.2,1.0,,,1.0,0.75,0.953,0.5,,"North Miami Beach, FL, 33160",
55,0.7544,landwatch,426426374,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426426374,NY,Nassau,5500.0,1553000.0,282.36,40.7443286,-73.6818017,34.6,0.0,,1.0,5734.9,0.5224055037902121,1758.3,,1.0,0.75,0.9529,0.5,,"New Hyde Park, NY, 11040, Nassau County",
56,0.7542,landwatch,425752484,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/425752484,NY,Nassau,4000.0,1149999.0,287.5,40.7242705,-73.706031,27.6,0.0,,1.0,2318.3,0.3239753200186684,1242.3,,1.0,0.75,0.9521,0.5,,"Floral Park, NY, 11001, Nassau County",
57,0.7539,landwatch,426013325,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426013325,NY,Nassau,6000.0,1758000.0,293.0,40.7868402,-73.7270097,31.3,0.9263802805712769,406.1,0.34456928136197257,582.4,0.44171065747950294,1548.4,,1.0,0.75,0.9512,0.5,,"Great Neck, NY, 11021, Nassau County",
58,0.7536,landwatch,426171832,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426171832,NY,Nassau,5500.0,1649000.0,299.82,40.6522391,-73.7111613,1.8,0.9469946556966568,348.4,0.48778522720833206,782.9,0.10453035063241618,671.8,,1.0,0.75,0.95,0.5,,"Valley Stream, NY, 11581, Nassau County",
59,0.7535,landwatch,425553461,https://www.landwatch.com/morris-county-new-jersey-homes-for-sale/pid/425553461,NJ,Morris,999.0,275000.0,275.28,40.8547472,-74.4776999,156.9,1.0,200.0,0.3988335826231613,658.4,0.31011391907003977,1206.3,,1.0,0.7439,0.9541,0.5,,"Morris Plains, NJ, 07950, Morris County",
60,0.7532,landwatch,424966038,https://www.landwatch.com/warren-county-mississippi-recreational-property-for-sale/pid/424966038,MS,Warren,6500.0,2000000.0,307.69,32.3866925,-90.8241857,92.2,0.0,3239.6,0.16433063261416997,330.1,0.4007586286070877,1442.0,,1.0,0.75,0.9487,0.5,,"Vicksburg, MS, 39183, Warren County",
61,0.7532,landwatch,425112129,https://www.landwatch.com/palm-beach-county-florida-undeveloped-land-for-sale/pid/425112129,FL,Palm Beach,9150.0,2820000.0,308.2,26.3489355,-80.0839672,4.6,0.0,,0.3063877148355214,528.9,0.20087074085893067,922.3,,1.0,0.75,0.9486,0.5,,"Boca Raton, FL, 33432, Palm Beach County",
62,0.753,landwatch,424271006,https://www.landwatch.com/sarasota-county-florida-homes-for-sale/pid/424271006,FL,Sarasota,3189.0,996000.0,312.32,26.9232767,-82.3026713,3.3,0.0,,1.0,,0.1469229685966779,782.0,,1.0,0.75,0.9479,0.5,,"Englewood, FL, 34224, Sarasota County",
63,0.7524,landwatch,426504145,https://www.landwatch.com/douglas-county-washington-undeveloped-land-for-sale/pid/426504145,WA,Douglas,640.0,595000.0,929.69,47.8129824,-119.6426553,689.6,0.0,,1.0,11689.1,1.0,,,1.0,0.8844,0.8451,0.5,,"Mansfield, WA, 98830, Douglas County",
64,0.7521,landwatch,422418871,https://www.landwatch.com/clinton-county-new-york-undeveloped-land-for-sale/pid/422418871,NY,Clinton,1196.0,950000.0,794.31,44.945685,-73.9568818,347.6,0.8310380585017352,673.1,1.0,26599.5,0.49549793368776907,1688.3,,1.0,0.8531,0.8676,0.5,,"Churubusco, NY, 12923, Clinton County",
65,0.752,landwatch,425553523,https://www.landwatch.com/monroe-county-florida-homes-for-sale/pid/425553523,FL,Monroe,6000.0,1995000.0,332.5,25.1418121,-80.4045734,-0.5,0.0,,0.23792329182049554,433.1,1.0,4101.5,,1.0,0.75,0.9446,0.5,,"Key Largo, FL, 33037, Monroe County",
66,0.7507,landwatch,423540014,https://www.landwatch.com/sarasota-county-florida-homes-for-sale/pid/423540014,FL,Sarasota,3189.0,1150000.0,360.61,26.9232767,-82.3026713,3.3,0.0,,1.0,,0.1469229685966779,782.0,,1.0,0.75,0.9399,0.5,,"Englewood, FL, 34224, Sarasota County",
67,0.7506,landwatch,420013572,https://www.landwatch.com/miami-dade-county-florida-homes-for-sale/pid/420013572,FL,Miami Dade,5520.0,2000000.0,362.32,25.8604858,-80.2708474,2.2,0.0,,0.5567136715181853,879.4,0.9755137025619568,2936.3,,1.0,0.75,0.9396,0.5,,"Hialeah, FL, 33013, Miami-Dade County",
68,0.7506,landandfarm,34643452,https://www.landandfarm.com/property/875-e-29th-st-hialeah-fl-34643452/,FL,Miami-Dade,5520.0,2000000.0,362.32,25.8604858,-80.2708474,2.2,0.0,,0.5567136715181853,879.4,0.9755137025619568,2936.3,,1.0,0.75,0.9396,0.5,,"Hialeah, FL, 33013",
69,0.7506,landwatch,422817812,https://www.landwatch.com/queens-county-new-york-land-for-sale/pid/422817812,NY,Queens,7950.0,2889000.0,363.4,40.6977635,-73.8346879,16.7,0.0,3289.6,0.08685455271088668,221.6,0.46051453241729906,1597.3,,1.0,0.75,0.9394,0.5,,"Richmond Hill, NY, 11418, Queens County",
70,0.7506,landwatch,426379865,https://www.landwatch.com/kearny-county-kansas-farms-and-ranches-for-sale/pid/426379865,KS,Kearny,546.0,686000.0,1256.41,37.9412983,-101.2719788,924.0,0.0,,1.0,3584.6,1.0,,,1.0,0.9484,0.7906,0.5,,"Lakin, KS, 67860, Kearny County",
71,0.7502,landwatch,425163100,https://www.landwatch.com/beauregard-parish-louisiana-recreational-property-for-sale/pid/425163100,LA,,600.0,777000.0,1295.0,30.7335471,-93.5477387,25.6,0.8719300815701315,558.6,0.595437176118764,933.6,0.5309738170641578,1780.5,,1.0,0.9556,0.7842,0.5,,"Merryville, LA, 70653",
72,0.7496,landwatch,426210342,https://www.landwatch.com/madison-county-alabama-homes-for-sale/pid/426210342,AL,Madison,3658.0,1400000.0,382.72,34.7279724,-86.5730248,198.9,0.8662704299276869,574.4,1.0,1768.0,0.3851275800620617,1401.3,,1.0,0.75,0.9362,0.5,,"Huntsville, AL, 35801, Madison County",
73,0.7493,landwatch,426505933,https://www.landwatch.com/banks-county-georgia-homes-for-sale/pid/426505933,GA,Banks,1310.0,425000.0,324.43,34.2174732,-83.4701001,256.1,0.9676964450481558,290.4,0.39710093792523626,655.9,0.18431220485584215,879.2,,1.0,0.7357,0.9459,0.5,,"Commerce, GA, 30529, Banks County",
74,0.7487,landwatch,422998316,https://www.landwatch.com/kimball-county-nebraska-farms-and-ranches-for-sale/pid/422998316,NE,Kimball,662.0,550000.0,830.82,41.2303784,-103.6610413,1442.1,0.37413330264884326,1952.4,1.0,18104.1,0.7557263481200913,2364.9,,1.0,0.8453,0.8615,0.5,,"Kimball, NE, 69145, Kimball County",
75,0.7485,landwatch,425749612,https://www.landwatch.com/monroe-county-florida-homes-for-sale/pid/425749612,FL,Monroe,5280.0,2150000.0,407.2,24.5649209,-81.7682083,0.3,0.0,,0.0,94.3,0.0,91.0,,1.0,0.75,0.9321,0.5,,"Key West, FL, 33040, Monroe County",
76,0.7482,landwatch,426437304,https://www.landwatch.com/pike-county-arkansas-undeveloped-land-for-sale/pid/426437304,AR,Pike,1280.0,625000.0,488.28,34.1052644,-93.673661,127.7,1.0,171.8,0.9661504474164836,1452.6,1.0,,,1.0,0.7666,0.9186,0.5,,"Murfreesboro, AR, 71958, Pike County",
77,0.7481,landwatch,422302629,https://www.landwatch.com/jefferson-county-arkansas-recreational-property-for-sale/pid/422302629,AR,Jefferson,580.0,870000.0,1500.0,34.2653295,-92.1001295,92.8,0.2834553766409196,2206.3,1.0,1777.2,0.34974189657641885,1309.3,,1.0,0.9911,0.75,0.5,,"White Hall, AR, 71602, Jefferson County",
78,0.7474,landwatch,426356670,https://www.landwatch.com/osceola-county-florida-homes-for-sale/pid/426356670,FL,Osceola,722.0,274000.0,379.5,28.3042194,-81.4711897,23.2,0.0,,0.46819147908651143,755.5,0.2019790824155266,925.1,,1.0,0.7387,0.9367,0.5,,"Kissimmee, FL, 34746, Osceola County",
79,0.747,landandfarm,40893485,https://www.landandfarm.com/property/morgan-615-40893485/,TN,Morgan,615.0,765000.0,1243.9,35.9889112,-84.5885838,356.4,0.7285659208993882,960.0,1.0,2539.0,1.0,,,1.0,0.9289,0.7927,0.5,,"Oakdale, TN, 37829",
80,0.7455,landwatch,425922152,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/425922152,NY,Nassau,5000.0,2350000.0,470.0,40.8353158,-73.6956786,20.7,0.15974349041506752,2552.7,0.7034800148321763,1084.9,0.38777038370078404,1408.2,,1.0,0.75,0.9217,0.5,,"Port Washington, NY, 11050, Nassau County",
81,0.7455,landwatch,423417803,https://www.landwatch.com/ramsey-county-minnesota-homes-for-sale/pid/423417803,MN,Ramsey,6060.0,2850000.0,470.3,44.9118274,-93.1748321,283.0,0.332028311301482,2070.3,1.0,1530.4,0.4965610793576518,1691.1,,1.0,0.75,0.9216,0.5,,"Saint Paul, MN, 55116, Ramsey County",
82,0.7446,landwatch,426645797,https://www.landwatch.com/malheur-county-oregon-recreational-property-for-sale/pid/426645797,OR,Malheur,640.0,700000.0,1093.75,43.8655623,-117.6080329,768.9,0.0,,0.6963504459477309,1074.9,1.0,,,1.0,0.8844,0.8177,0.5,,"Harper, OR, 97906, Malheur County",
83,0.7443,landwatch,426108912,https://www.landwatch.com/nassau-county-new-york-homes-for-sale/pid/426108912,NY,Nassau,4000.0,1975000.0,493.75,40.5883147,-73.6665998,2.0,0.741090936749887,924.9,1.0,3674.2,0.46338927669163216,1604.8,,1.0,0.75,0.9177,0.5,,"Long Beach, NY, 11561, Nassau County",
84,0.7436,landandfarm,39167237,https://www.landandfarm.com/property/1329-e-2nd-st-39167237/,NY,Kings,4520.0,2300000.0,508.85,40.6215312,-73.9656226,10.7,0.0,,1.0,13198.9,1.0,,,1.0,0.75,0.9152,0.5,,"Brooklyn, NY, 11230",
85,0.7434,landwatch,426288028,https://www.landwatch.com/lincoln-county-washington-undeveloped-land-for-sale/pid/426288028,WA,Lincoln,564.0,874500.0,1550.53,47.6685902,-118.1316931,733.8,0.0,,0.09672465729068337,235.4,0.7459718855596367,2339.5,,1.0,0.9804,0.7416,0.5,,"Davenport, WA, 99122, Lincoln County",
